iin	V(vt)
5.370317963702482e-007	4.602839e-001
5.495408738576199e-007	4.608794e-001
5.623413251903444e-007	4.614750e-001
5.754399373371521e-007	4.620706e-001
5.888436553555841e-007	4.626662e-001
6.025595860743527e-007	4.632617e-001
6.165950018614769e-007	4.638573e-001
6.309573444801879e-007	4.644528e-001
6.456542290346500e-007	4.650484e-001
6.606934480075903e-007	4.656440e-001
6.760829753919759e-007	4.662395e-001
6.918309709189305e-007	4.668351e-001
7.079457843841318e-007	4.674307e-001
7.244359600749837e-007	4.680263e-001
7.413102413009110e-007	4.686218e-001
7.585775750291771e-007	4.692174e-001
7.762471166286849e-007	4.698129e-001
7.943282347242745e-007	4.704085e-001
8.128305161640920e-007	4.710041e-001
8.317637711026636e-007	4.715996e-001
8.511380382023688e-007	4.721952e-001
8.709635899560727e-007	4.727908e-001
8.912509381337375e-007	4.733863e-001
9.120108393559015e-007	4.739819e-001
9.332543007969826e-007	4.745775e-001
9.549925860214271e-007	4.751731e-001
9.772372209558016e-007	4.757686e-001
9.999999999999906e-007	4.763642e-001
1.023292992280745e-006	4.769598e-001
1.047128548050890e-006	4.775553e-001
1.071519305237596e-006	4.781509e-001
1.096478196143175e-006	4.787465e-001
1.122018454301953e-006	4.793420e-001
1.148153621496872e-006	4.799376e-001
1.174897554939518e-006	4.805332e-001
1.202264434617401e-006	4.811287e-001
1.230268770812370e-006	4.817243e-001
1.258925411794155e-006	4.823199e-001
1.288249551693122e-006	4.829154e-001
1.318256738556395e-006	4.835110e-001
1.348962882591641e-006	4.841066e-001
1.380384264602872e-006	4.847021e-001
1.412537544622741e-006	4.852977e-001
1.445439770745914e-006	4.858933e-001
1.479108388168193e-006	4.864888e-001
1.513561248436193e-006	4.870844e-001
1.548816618912466e-006	4.876800e-001
1.584893192461098e-006	4.882756e-001
1.621810097358914e-006	4.888712e-001
1.659586907437544e-006	4.894667e-001
1.698243652461728e-006	4.900623e-001
1.737800828749358e-006	4.906579e-001
1.778279410038905e-006	4.912534e-001
1.819700858609965e-006	4.918490e-001
1.862087136662849e-006	4.924446e-001
1.905460717963228e-006	4.930401e-001
1.949844599758026e-006	4.936357e-001
1.995262314968860e-006	4.942313e-001
2.041737944669509e-006	4.948269e-001
2.089296130854018e-006	4.954225e-001
2.137962089502210e-006	4.960180e-001
2.187761623949530e-006	4.966136e-001
2.238721138568316e-006	4.972092e-001
2.290867652767749e-006	4.978047e-001
2.344228815319898e-006	4.984003e-001
2.398832919019465e-006	4.989959e-001
2.454708915685004e-006	4.995915e-001
2.511886431509554e-006	5.001870e-001
2.570395782768836e-006	5.007826e-001
2.630267991895354e-006	5.013782e-001
2.691534803926887e-006	5.019737e-001
2.754228703338137e-006	5.025694e-001
2.818382931264423e-006	5.031649e-001
2.884031503126575e-006	5.037605e-001
2.951209226666354e-006	5.043561e-001
3.019951720401983e-006	5.049517e-001
3.090295432513557e-006	5.055472e-001
3.162277660168345e-006	5.061428e-001
3.235936569296247e-006	5.067384e-001
3.311311214825874e-006	5.073340e-001
3.388441561391988e-006	5.079296e-001
3.467368504525278e-006	5.085251e-001
3.548133892335715e-006	5.091207e-001
3.630780547700973e-006	5.097163e-001
3.715352290971684e-006	5.103119e-001
3.801893963205569e-006	5.109075e-001
3.890451449942762e-006	5.115030e-001
3.981071705534928e-006	5.120986e-001
