vr	I(Ir)
Step Information: Run=1  (Run: 1/500)
3.749999999999995e+000	3.744284e-004
3.799999999999995e+000	3.794208e-004
3.849999999999994e+000	3.844131e-004
3.899999999999994e+000	3.894055e-004
3.949999999999994e+000	3.943979e-004
3.999999999999994e+000	3.993903e-004
4.049999999999994e+000	4.043826e-004
4.099999999999993e+000	4.093750e-004
4.149999999999993e+000	4.143674e-004
4.199999999999993e+000	4.193598e-004
4.249999999999993e+000	4.243522e-004
4.299999999999993e+000	4.293446e-004
4.349999999999993e+000	4.343369e-004
4.399999999999992e+000	4.393293e-004
4.449999999999992e+000	4.443217e-004
4.499999999999992e+000	4.493141e-004
4.549999999999992e+000	4.543065e-004
4.599999999999992e+000	4.592988e-004
4.649999999999992e+000	4.642912e-004
4.699999999999991e+000	4.692836e-004
4.749999999999991e+000	4.742760e-004
4.799999999999991e+000	4.792683e-004
4.849999999999991e+000	4.842607e-004
4.899999999999991e+000	4.892531e-004
4.949999999999990e+000	4.942455e-004
5.000000000000000e+000	4.992379e-004
Step Information: Run=6  (Run: 6/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	5.002888e-006
1.000000000000000e-001	1.000578e-005
1.500000000000000e-001	1.500866e-005
2.000000000000000e-001	2.001155e-005
2.500000000000000e-001	2.501444e-005
3.000000000000000e-001	3.001733e-005
3.500000000000000e-001	3.502021e-005
4.000000000000000e-001	4.002310e-005
4.500000000000000e-001	4.502599e-005
4.999999999999999e-001	5.002888e-005
5.499999999999999e-001	5.503176e-005
6.000000000000000e-001	6.003465e-005
6.500000000000000e-001	6.503754e-005
7.000000000000001e-001	7.004043e-005
7.500000000000001e-001	7.504332e-005
8.000000000000002e-001	8.004620e-005
8.500000000000002e-001	8.504909e-005
9.000000000000002e-001	9.005198e-005
9.500000000000003e-001	9.505486e-005
1.000000000000000e+000	1.000578e-004
1.050000000000000e+000	1.050606e-004
1.100000000000000e+000	1.100635e-004
1.150000000000000e+000	1.150664e-004
1.200000000000000e+000	1.200693e-004
1.250000000000000e+000	1.250722e-004
1.300000000000001e+000	1.300751e-004
1.350000000000001e+000	1.350780e-004
1.400000000000001e+000	1.400809e-004
1.450000000000001e+000	1.450837e-004
1.500000000000001e+000	1.500866e-004
1.550000000000001e+000	1.550895e-004
1.600000000000001e+000	1.600924e-004
1.650000000000001e+000	1.650953e-004
1.700000000000001e+000	1.700982e-004
1.750000000000001e+000	1.751011e-004
1.800000000000001e+000	1.801040e-004
1.850000000000001e+000	1.851068e-004
1.900000000000001e+000	1.901097e-004
1.950000000000001e+000	1.951126e-004
2.000000000000001e+000	2.001155e-004
2.050000000000001e+000	2.051184e-004
