vin	V(vout)
Step Information: Run=1  (Run: 1/500)
7.000000000000001e-001	2.338590e-001
7.500000000000001e-001	2.505632e-001
8.000000000000002e-001	2.672674e-001
8.500000000000002e-001	2.839716e-001
9.000000000000002e-001	3.006758e-001
9.500000000000003e-001	3.173800e-001
1.000000000000000e+000	3.340842e-001
1.050000000000000e+000	3.507885e-001
1.100000000000000e+000	3.674927e-001
1.150000000000000e+000	3.841969e-001
1.200000000000000e+000	4.009011e-001
1.250000000000000e+000	4.176053e-001
1.300000000000001e+000	4.343095e-001
1.350000000000001e+000	4.510137e-001
1.400000000000001e+000	4.677179e-001
1.450000000000001e+000	4.844222e-001
1.500000000000001e+000	5.011264e-001
1.550000000000001e+000	5.178306e-001
1.600000000000001e+000	5.345348e-001
1.650000000000001e+000	5.512390e-001
1.700000000000001e+000	5.679432e-001
1.750000000000001e+000	5.846474e-001
1.800000000000001e+000	6.013517e-001
1.850000000000001e+000	6.180559e-001
1.900000000000001e+000	6.347601e-001
1.950000000000001e+000	6.514643e-001
2.000000000000001e+000	6.681685e-001
2.050000000000001e+000	6.848727e-001
2.100000000000001e+000	7.015769e-001
2.150000000000000e+000	7.182811e-001
2.200000000000000e+000	7.349854e-001
2.250000000000000e+000	7.516896e-001
2.300000000000000e+000	7.683938e-001
2.350000000000000e+000	7.850980e-001
2.400000000000000e+000	8.018022e-001
2.449999999999999e+000	8.185064e-001
2.499999999999999e+000	8.352106e-001
2.549999999999999e+000	8.519148e-001
2.599999999999999e+000	8.686191e-001
2.649999999999999e+000	8.853233e-001
2.699999999999998e+000	9.020275e-001
2.749999999999998e+000	9.187317e-001
2.799999999999998e+000	9.354359e-001
2.849999999999998e+000	9.521402e-001
2.899999999999998e+000	9.688444e-001
2.949999999999998e+000	9.855486e-001
2.999999999999997e+000	1.002253e+000
3.049999999999997e+000	1.018957e+000
3.099999999999997e+000	1.035661e+000
3.149999999999997e+000	1.052365e+000
3.199999999999997e+000	1.069070e+000
3.249999999999996e+000	1.085774e+000
3.299999999999996e+000	1.102478e+000
3.349999999999996e+000	1.119182e+000
3.399999999999996e+000	1.135886e+000
3.449999999999996e+000	1.152591e+000
3.499999999999996e+000	1.169295e+000
3.549999999999995e+000	1.185999e+000
3.599999999999995e+000	1.202703e+000
3.649999999999995e+000	1.219408e+000
3.699999999999995e+000	1.236112e+000
3.749999999999995e+000	1.252816e+000
3.799999999999995e+000	1.269520e+000
3.849999999999994e+000	1.286224e+000
3.899999999999994e+000	1.302929e+000
3.949999999999994e+000	1.319633e+000
3.999999999999994e+000	1.336337e+000
4.049999999999994e+000	1.353041e+000
4.099999999999993e+000	1.369745e+000
4.149999999999993e+000	1.386450e+000
4.199999999999993e+000	1.403154e+000
4.249999999999993e+000	1.419858e+000
4.299999999999993e+000	1.436562e+000
4.349999999999993e+000	1.453267e+000
4.399999999999992e+000	1.469971e+000
4.449999999999992e+000	1.486675e+000
4.499999999999992e+000	1.503379e+000
4.549999999999992e+000	1.520083e+000
4.599999999999992e+000	1.536788e+000
4.649999999999992e+000	1.553492e+000
4.699999999999991e+000	1.570196e+000
4.749999999999991e+000	1.586900e+000
4.799999999999991e+000	1.603604e+000
4.849999999999991e+000	1.620309e+000
4.899999999999991e+000	1.637013e+000
4.949999999999990e+000	1.653717e+000
5.000000000000000e+000	1.670421e+000
Step Information: Run=5  (Run: 5/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.655662e-002
1.000000000000000e-001	3.311325e-002
1.500000000000000e-001	4.966987e-002
2.000000000000000e-001	6.622650e-002
2.500000000000000e-001	8.278312e-002
3.000000000000000e-001	9.933974e-002
3.500000000000000e-001	1.158964e-001
4.000000000000000e-001	1.324530e-001
4.500000000000000e-001	1.490096e-001
4.999999999999999e-001	1.655662e-001
5.499999999999999e-001	1.821229e-001
6.000000000000000e-001	1.986795e-001
6.500000000000000e-001	2.152361e-001
7.000000000000001e-001	2.317927e-001
7.500000000000001e-001	2.483494e-001
8.000000000000002e-001	2.649060e-001
8.500000000000002e-001	2.814626e-001
9.000000000000002e-001	2.980192e-001
9.500000000000003e-001	3.145759e-001
1.000000000000000e+000	3.311325e-001
1.050000000000000e+000	3.476891e-001
1.100000000000000e+000	3.642457e-001
1.150000000000000e+000	3.808023e-001
1.200000000000000e+000	3.973590e-001
1.250000000000000e+000	4.139156e-001
1.300000000000001e+000	4.304722e-001
1.350000000000001e+000	4.470288e-001
1.400000000000001e+000	4.635855e-001
1.450000000000001e+000	4.801421e-001
1.500000000000001e+000	4.966987e-001
1.550000000000001e+000	5.132554e-001
1.600000000000001e+000	5.298120e-001
1.650000000000001e+000	5.463686e-001
1.700000000000001e+000	5.629252e-001
1.750000000000001e+000	5.794818e-001
1.800000000000001e+000	5.960385e-001
1.850000000000001e+000	6.125951e-001
1.900000000000001e+000	6.291517e-001
1.950000000000001e+000	6.457083e-001
2.000000000000001e+000	6.622649e-001
2.050000000000001e+000	6.788216e-001
2.100000000000001e+000	6.953782e-001
2.150000000000000e+000	7.119348e-001
2.200000000000000e+000	7.284914e-001
2.250000000000000e+000	7.450480e-001
2.300000000000000e+000	7.616047e-001
2.350000000000000e+000	7.781613e-001
2.400000000000000e+000	7.947179e-001
2.449999999999999e+000	8.112745e-001
2.499999999999999e+000	8.278311e-001
2.549999999999999e+000	8.443878e-001
2.599999999999999e+000	8.609444e-001
2.649999999999999e+000	8.775011e-001
2.699999999999998e+000	8.940577e-001
2.749999999999998e+000	9.106143e-001
2.799999999999998e+000	9.271709e-001
2.849999999999998e+000	9.437276e-001
2.899999999999998e+000	9.602842e-001
2.949999999999998e+000	9.768408e-001
2.999999999999997e+000	9.933974e-001
3.049999999999997e+000	1.009954e+000
3.099999999999997e+000	1.026511e+000
3.149999999999997e+000	1.043067e+000
3.199999999999997e+000	1.059624e+000
3.249999999999996e+000	1.076181e+000
3.299999999999996e+000	1.092737e+000
3.349999999999996e+000	1.109294e+000
3.399999999999996e+000	1.125850e+000
3.449999999999996e+000	1.142407e+000
3.499999999999996e+000	1.158964e+000
3.549999999999995e+000	1.175520e+000
3.599999999999995e+000	1.192077e+000
3.649999999999995e+000	1.208634e+000
3.699999999999995e+000	1.225190e+000
3.749999999999995e+000	1.241747e+000
3.799999999999995e+000	1.258303e+000
3.849999999999994e+000	1.274860e+000
3.899999999999994e+000	1.291417e+000
3.949999999999994e+000	1.307973e+000
3.999999999999994e+000	1.324530e+000
4.049999999999994e+000	1.341087e+000
4.099999999999993e+000	1.357643e+000
4.149999999999993e+000	1.374200e+000
4.199999999999993e+000	1.390756e+000
4.249999999999993e+000	1.407313e+000
4.299999999999993e+000	1.423870e+000
4.349999999999993e+000	1.440426e+000
4.399999999999992e+000	1.456983e+000
4.449999999999992e+000	1.473539e+000
4.499999999999992e+000	1.490096e+000
4.549999999999992e+000	1.506653e+000
4.599999999999992e+000	1.523209e+000
4.649999999999992e+000	1.539766e+000
4.699999999999991e+000	1.556323e+000
4.749999999999991e+000	1.572879e+000
4.799999999999991e+000	1.589436e+000
4.849999999999991e+000	1.605992e+000
4.899999999999991e+000	1.622549e+000
4.949999999999990e+000	1.639106e+000
5.000000000000000e+000	1.655662e+000
Step Information: Run=6  (Run: 6/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.704691e-002
1.000000000000000e-001	3.409382e-002
1.500000000000000e-001	5.114073e-002
2.000000000000000e-001	6.818764e-002
2.500000000000000e-001	8.523455e-002
3.000000000000000e-001	1.022815e-001
3.500000000000000e-001	1.193284e-001
4.000000000000000e-001	1.363753e-001
4.500000000000000e-001	1.534222e-001
4.999999999999999e-001	1.704691e-001
5.499999999999999e-001	1.875160e-001
6.000000000000000e-001	2.045629e-001
6.500000000000000e-001	2.216098e-001
7.000000000000001e-001	2.386567e-001
7.500000000000001e-001	2.557036e-001
