vin	V(vout)
Step Information: Vref=500m  (Run: 1/3)
3.199999999999997e+000	1.100004e+000
3.249999999999996e+000	1.000005e+000
3.299999999999996e+000	9.000050e-001
3.349999999999996e+000	8.000053e-001
3.399999999999996e+000	7.000056e-001
3.449999999999996e+000	6.000059e-001
3.499999999999996e+000	5.000063e-001
3.549999999999995e+000	4.000066e-001
3.599999999999995e+000	3.000069e-001
3.649999999999995e+000	2.000073e-001
3.699999999999995e+000	1.065039e-001
3.749999999999995e+000	3.345352e-002
3.799999999999995e+000	1.730845e-002
3.849999999999994e+000	1.540284e-002
3.899999999999994e+000	1.488668e-002
3.949999999999994e+000	1.475175e-002
3.999999999999994e+000	1.477458e-002
4.049999999999994e+000	1.486682e-002
4.099999999999993e+000	1.499613e-002
4.149999999999993e+000	1.514661e-002
4.199999999999993e+000	1.530963e-002
4.249999999999993e+000	1.548026e-002
4.299999999999993e+000	1.565556e-002
4.349999999999993e+000	1.583377e-002
4.399999999999992e+000	1.601378e-002
4.449999999999992e+000	1.619494e-002
4.499999999999992e+000	1.637682e-002
4.549999999999992e+000	1.655917e-002
4.599999999999992e+000	1.674183e-002
4.649999999999992e+000	1.692469e-002
4.699999999999991e+000	1.710770e-002
4.749999999999991e+000	1.729081e-002
4.799999999999991e+000	1.747400e-002
4.849999999999991e+000	1.765727e-002
4.899999999999991e+000	1.784059e-002
4.949999999999990e+000	1.802396e-002
5.000000000000000e+000	1.820738e-002
Step Information: Vref=4.5  (Run: 3/3)
0.000000000000000e+000	4.981792e+000
5.000000000000000e-002	4.981976e+000
1.000000000000000e-001	4.982160e+000
1.500000000000000e-001	4.982343e+000
2.000000000000000e-001	4.982526e+000
2.500000000000000e-001	4.982709e+000
3.000000000000000e-001	4.982893e+000
3.500000000000000e-001	4.983076e+000
4.000000000000000e-001	4.983259e+000
4.500000000000000e-001	4.983442e+000
4.999999999999999e-001	4.983625e+000
5.499999999999999e-001	4.983808e+000
6.000000000000000e-001	4.983991e+000
6.500000000000000e-001	4.984174e+000
7.000000000000001e-001	4.984357e+000
7.500000000000001e-001	4.984540e+000
8.000000000000002e-001	4.984723e+000
8.500000000000002e-001	4.984905e+000
9.000000000000002e-001	4.985088e+000
9.500000000000003e-001	4.985271e+000
1.000000000000000e+000	4.985454e+000
1.050000000000000e+000	4.985636e+000
1.100000000000000e+000	4.985819e+000
1.150000000000000e+000	4.986001e+000
1.200000000000000e+000	4.986184e+000
1.250000000000000e+000	4.986366e+000
1.300000000000001e+000	4.986549e+000
1.350000000000001e+000	4.986732e+000
1.400000000000001e+000	4.986914e+000
1.450000000000001e+000	4.987096e+000
1.500000000000001e+000	4.987278e+000
1.550000000000001e+000	4.987461e+000
1.600000000000001e+000	4.987643e+000
1.650000000000001e+000	4.987825e+000
1.700000000000001e+000	4.988008e+000
1.750000000000001e+000	4.988190e+000
1.800000000000001e+000	4.988372e+000
1.850000000000001e+000	4.988554e+000
1.900000000000001e+000	4.988736e+000
